,Price,Sqtft,Location,NoofBedrooms,SwimmingPool,JoggingTrack,RainWaterHarvesting,CarParking
0,5500000,1310,Perungalathur,3,0,0,0,0
1,5350000,1126,Madhavaram,2,1,0,1,0
2,8205000,1307,Karapakkam,3,1,1,1,1
3,23400000,3600,Thiruvidandhai,3,1,1,0,0
4,10100000,1700,Iyappanthangal,3,1,1,0,0
5,2950000,576,Mevalurkuppam,1,1,1,1,1
6,7600000,1207,Kolapakkam,3,1,1,1,1
7,2234000,604,Kundrathur,2,0,0,0,1
8,5521000,986,Pammal,2,0,0,0,0
9,6321000,1345,Puzhal,3,1,0,1,1
10,3404000,510,Selaiyur,1,0,0,0,0
11,11600000,1508,Thoraipakkam OMR,3,1,1,1,1
12,6536000,1245,Karapakkam,2,1,1,0,1
13,24200000,1565,Anna Nagar,3,0,0,0,0
14,8162000,1306,Mogappair,2,1,0,0,0
15,6190000,1113,Sholinganallur,2,0,1,1,0
16,9613000,1479,Mogappair,3,1,0,0,1
17,7542000,1640,Sholinganallur,3,1,1,1,1
18,6338000,1112,Medavakkam,2,0,0,0,0
19,2724000,645,Avadi,2,1,1,1,0
20,5500000,1310,Perungalathur,3,0,0,0,0
21,5350000,1126,Madhavaram,2,1,0,1,0
22,8205000,1307,Karapakkam,3,1,1,1,1
23,23400000,3600,Thiruvidandhai,3,1,1,0,0
24,10100000,1700,Iyappanthangal,3,1,1,0,0
25,2950000,576,Mevalurkuppam,1,1,1,1,1
26,7600000,1207,Kolapakkam,3,1,1,1,1
27,2234000,604,Kundrathur,2,0,0,0,1
28,5521000,986,Pammal,2,0,0,0,0
29,6321000,1345,Puzhal,3,1,0,1,1
30,3404000,510,Selaiyur,1,0,0,0,0
31,11600000,1508,Thoraipakkam OMR,3,1,1,1,1
32,6536000,1245,Karapakkam,2,1,1,0,1
33,24200000,1565,Anna Nagar,3,0,0,0,0
34,8162000,1306,Mogappair,2,1,0,0,0
35,6190000,1113,Sholinganallur,2,0,1,1,0
36,9613000,1479,Mogappair,3,1,0,0,1
37,7542000,1640,Sholinganallur,3,1,1,1,1
38,6338000,1112,Medavakkam,2,0,0,0,0
39,2724000,645,Avadi,2,1,1,1,0
40,3388000,738,Tiruvottiyur,2,0,0,0,0
41,3175000,804,Perungalathur,2,0,0,0,0
42,19100000,2474,Iyappanthangal,4,1,1,1,1
43,4065999,701,Manapakkam,2,0,0,0,0
44,6500000,1350,Madipakkam,2,0,0,0,0
45,5500000,785,Thiruvanmiyur,2,0,0,0,0
46,3500000,538,Ramapuram,1,1,0,1,1
47,17000000,1361,Saidapet,2,1,1,0,0
48,2499000,677,Avadi,2,0,1,0,1
49,4165999,868,Pammal,2,0,0,0,0
50,4875000,920,Madipakkam,2,0,0,0,0
51,3442000,850,Poonamallee,2,0,0,0,0
52,4165000,850,Pammal,2,0,0,0,0
53,5298000,1019,Pallavaram,2,0,0,0,0
54,5184000,1080,Pammal,3,0,0,0,0
55,10000000,1943,Maraimalai Nagar,3,1,0,0,0
56,6225000,1245,Madambakkam,3,0,0,1,1
57,5599000,817,Perungudi,2,0,0,1,0
58,6100000,1185,Iyappanthangal,3,0,0,0,1
59,2960000,779,Kolapakkam,2,0,0,0,1
60,7200000,1330,Villivakkam,2,0,0,0,0
61,35000000,2011,Adyar,4,0,0,0,0
62,4998000,1112,Navallur,2,0,1,0,0
63,3400000,612,Moolacheri,2,1,1,1,1
64,6500000,900,Chromepet,2,0,0,0,0
65,8675000,1641,Nandambakkam,3,0,0,0,0
66,6259000,963,Anna Nagar,2,0,0,0,0
67,3400000,1062,Kelambakkam,3,1,1,1,1
68,12000000,940,Vadapalani,2,0,0,0,0
69,5999000,1400,Kumananchavadi,3,0,0,0,0
70,10400000,1671,Thoraipakkam OMR,3,0,1,0,0
71,8000000,1952,Sholinganallur,3,0,0,0,0
72,5003000,944,Sholinganallur,2,0,0,1,0
73,4192000,975,Porur,1,0,0,0,0
74,5500000,1060,Periyapanicheri,3,0,0,0,0
75,9110000,1481,Perungudi,3,0,0,1,1
76,3377000,965,Selaiyur,2,0,0,1,0
77,5978000,1128,Manikandan Nagar,3,0,0,0,0
78,6000000,1219,Porur,3,0,0,0,0
79,12000000,1300,Kodambakkam,2,0,0,0,0
80,9086000,1298,Velachery,3,0,0,0,0
81,9500000,1900,Sholinganallur,3,1,0,0,0
82,5500000,1213,East Tambaram,3,0,1,0,1
83,20000000,1560,Gopalapuram,3,0,0,0,0
84,17500000,2325,Navallur,3,1,1,1,1
85,6800000,1389,Mevalurkuppam,3,1,1,1,1
86,6463000,1250,Medavakkam,3,0,0,0,0
87,6409999,1603,Avadi,3,1,1,1,0
88,5000000,1000,Sunnambu Kolathur S Kolathur,2,0,0,0,0
89,5261000,1238,Perumbakkam,3,0,1,0,0
90,3083000,801,Cholambedu,2,0,0,0,0
91,6409999,1603,Avadi,3,1,1,1,0
92,3000000,789,Urapakkam,2,0,0,0,0
93,43000000,2533,Raja Annamalai Puram,3,1,0,0,1
94,4153000,923,Madhavaram,2,0,0,0,0
95,13200000,2000,Perungudi,3,0,0,0,0
96,3850000,960,Madipakkam,2,0,0,0,1
97,19300000,1170,Besant Nagar,2,0,0,0,0
98,9000000,1471,Medavakkam,3,1,0,0,0
99,6500000,1181,Peerakankaranai,3,0,0,0,0
100,3072000,768,Nanmangalam,2,0,0,0,0
101,4800000,657,Jamalia,2,0,0,0,0
102,7400000,1187,Iyappanthangal,3,0,0,0,1
103,2500000,700,Avadi,2,0,1,0,1
104,4100000,954,Nanmangalam,2,0,0,0,0
105,3032000,722,Nanmangalam,2,0,0,0,0
106,9746000,1645,Sholinganallur,3,1,0,0,0
107,6203000,1443,Perumbakkam,3,1,1,1,1
108,3500000,894,Guduvancheri,2,0,0,0,0
109,7936000,1323,Chromepet,3,0,0,0,0
110,4000000,745,Sembakkam,2,0,0,0,0
111,2800000,560,Adambakkam,1,0,0,0,0
112,43099999,2056,Nungambakkam,2,1,0,0,0
113,10000000,920,T Nagar,3,0,0,0,0
114,9000000,1250,K K Nagar,2,1,0,0,0
115,3881000,721,Ambattur,2,0,0,0,0
116,3300000,855,Perumbakkam,2,0,0,0,1
117,11700000,1569,Valasaravakkam,3,0,0,0,0
118,13600000,850,Anna Nagar,2,1,0,1,0
119,7000000,1140,Porur,2,1,0,0,0
120,2771000,660,Perungalathur,1,0,0,0,0
121,2699000,643,Perungalathur,1,0,0,0,0
122,5022000,1196,Perungalathur,2,0,0,0,0
123,2657000,633,Perungalathur,1,0,0,0,0
124,3888000,926,Perungalathur,2,0,0,0,0
125,2729000,650,Perungalathur,1,0,0,0,0
126,8108000,1931,Perungalathur,3,0,0,0,0
127,3306000,538,Karapakkam,1,1,1,1,1
128,8248999,1314,Karapakkam,3,1,1,1,1
129,6447000,1027,Karapakkam,2,1,1,1,1
130,8525000,1358,Karapakkam,3,1,1,1,1
131,6428000,1024,Karapakkam,2,1,1,1,1
132,16800000,2686,Karapakkam,4,1,1,1,1
133,9799000,1561,Karapakkam,3,1,1,1,1
134,8136000,1296,Karapakkam,3,1,1,1,1
135,9831000,1566,Karapakkam,3,1,1,1,1
136,11399999,1829,Karapakkam,3,1,1,1,1
137,9818000,1564,Karapakkam,3,1,1,1,1
138,8462000,1348,Karapakkam,3,1,1,1,1
139,12200000,1944,Karapakkam,3,1,1,1,1
140,16500000,2640,Karapakkam,4,1,1,1,1
141,3372999,549,Karapakkam,1,1,1,1,1
142,16500000,2630,Karapakkam,4,1,1,1,1
143,16399999,2616,Karapakkam,4,1,1,1,1
144,10000000,1599,Karapakkam,3,1,1,1,1
145,42900000,6600,Thiruvidandhai,4,1,1,0,0
146,23400000,3600,Thiruvidandhai,4,1,1,0,0
147,6834000,1140,Iyappanthangal,2,1,1,0,0
148,6773999,1130,Iyappanthangal,2,1,1,0,0
149,7194000,1200,Iyappanthangal,2,1,1,0,0
150,3990000,855,Mevalurkuppam,2,1,1,1,1
151,3806000,635,Iyappanthangal,1,1,1,0,0
152,7044000,1175,Iyappanthangal,2,1,1,0,0
153,9861000,1645,Iyappanthangal,3,1,1,0,0
154,7014000,1170,Iyappanthangal,2,1,1,0,0
155,10500000,1760,Iyappanthangal,3,1,1,0,0
156,10400000,1740,Iyappanthangal,3,1,1,0,0
157,7134000,1190,Iyappanthangal,2,1,1,0,0
158,10300000,1730,Iyappanthangal,3,1,1,0,0
159,7295999,1536,Madhavaram,3,1,0,1,0
160,6360000,1339,Madhavaram,2,1,0,1,0
161,8507000,1791,Madhavaram,3,1,0,1,0
162,5500000,936,Kolapakkam,2,1,1,1,1
163,7550000,1179,Kolapakkam,3,1,1,1,1
